Name,Url,Authority,Started On,Finished On,License Number
C_TSCM62_66 - SAP Certified Application Associate,,SAP,2014,,User ID S0011723615
TRIZ Level 1 (Theory of Inventive Problem SolvingTheory of Inventive Problem Solving),,EPAM Systems,Mar 2016,,
"EFSET English Certificate - Score: 52/100, Upper Intermediate (CEFR B2)",https://www.efset.org/,EF Education First,Dec 2016,,
EFSET Quick English Check - Score: Advanced / Proficient (CEFR C1/C2),https://www.efset.org/,EF Education First,Nov 2016,,
Managing Clean Core for SAP S/4HANA Cloud - Record of Achievement,https://www.credly.com/badges/f699d0a4-48fe-49e0-8db3-a872948a79a2/public_url,SAP,Nov 2024,,
Getting Started with SAP Forms Service by Adobe - Record of Achievement,https://www.credly.com/badges/ceca320e-a1db-4774-980d-c1c999a8267a/linked_in_profile,SAP,Jan 2025,,
EF SET English Certificate 69/100 (C1 Advanced),https://cert.efset.org/en/BgQpas,EF SET,Feb 2025,,
AI Agents Fundamentals,https://huggingface.co/datasets/agents-course/certificates/resolve/main/certificates/dkharlanau/2025-02-21.png,Hugging Face,Feb 2025,,dkharlanau
Goethe-Zertifikat B1,,Goethe-Institut e.V.,Mar 2025,,2000-AB1A-0002216469
Exploring the SAP Master Data Governance Deployments - Record of Achievement,https://www.credly.com/badges/3b756a20-f682-4c46-a64d-22548f033f9c/linked_in_profile,SAP,May 2025,,
Configuring and Implementing SAP Batch Release Hub for Life Sciences - Record of Achievement,https://www.credly.com/badges/7e12cf47-52f0-45a4-b2fd-ef006845a68f/linked_in_profile,SAP,May 2025,,
Excel: VLOOKUP and XLOOKUP for Beginners,https://www.linkedin.com/learning/certificates/e56678e7629297539bdf1ec665a58f1333900f9a1f4d7fc150cc41a5c0c593ad,LinkedIn,May 2025,,
Introducing the Retail Industry - Record of Achievement,https://www.credly.com/badges/c01634a9-5b19-4a64-b46e-5a95441fa43e/linked_in_profile,SAP,May 2025,,
Discover Retail Functions and Business Processes in SAP S/4HANA Retail - Record of Achievement,https://www.credly.com/badges/507d3bef-23bb-4f39-a313-f364cf45d9f7/linked_in_profile,SAP,May 2025,,
Mastering Data Governance and Ethics,https://www.linkedin.com/learning/certificates/3ae10d3ca119d913c8098643f672786b71a65972f17c04dcfe7b431b82283b5f?trk=share_certificate,LinkedIn Learning Community,,,3ae10d3ca119d913c8098643f672786b71a65972f17c04dcfe7b431b82283b5f
Certificate of Completion: Al Fluency Framework & Foundations,https://verify.skilljar.com/c/oy2ybffg8uog,Anthropic,Aug 2025,,oy2ybffg8uog
Discovering SAP S/4HANA Service ,https://www.credly.com/badges/048636d2-dcf8-4656-aa14-1257ab3471cf/public_url,SAP,Aug 2025,,
"Event-Driven Integration with SAP Integration Suite, Advanced Event Mesh",https://www.credly.com/badges/60ffffa9-49d1-448d-9988-fdded8986964/public_url,SAP,Aug 2025,,
Claude with the Anthropic API,https://verify.skilljar.com/c/vhboda6ypnop,Anthropic,Aug 2025,,vhboda6ypnop
Getting Started with SAP HCM and HCM Payroll - Record of Achievement,https://www.credly.com/badges/6ce5ae78-4200-43a1-a5cf-c37629af0f0b/linked_in_profile,SAP,Sep 2025,,
Git Essential Training,https://www.linkedin.com/learning/certificates/b8f74de29f21004ce522685d16f616c8bab57047d347a2517543cfedb6463bbb,LinkedIn,Oct 2025,,
