Event Name,Event Time,Status,External Url
Venture Capital in Mexico: Unlocking Opportunities and Challenges,"Aug 10, 2023 02:00 PM - Aug 10, 2023 03:00 PM",RELINQUISHED,https://bit.ly/3OtdhRl
Webinar: Automate and Accelerate your Risk Management Process,"Jan 24, 2024 01:00 PM - Jan 24, 2024 02:00 PM",RELINQUISHED,https://www.nagarro.com/en/webinar/automate-accelerate-risk-management-process
Global Gate Talk ASIA: Launching an IT business in Vietnam,"Sep 13, 2023 01:00 PM - Sep 13, 2023 02:00 PM",RELINQUISHED,https://globalgate.uk/asia#vebinars
Global Gate Talks Latam -- Working with Brazilians: Secret Tips,"Sep 12, 2023 02:00 PM - Sep 12, 2023 03:00 PM",RELINQUISHED,https://globalgate.uk/latin_america#register-vebinars
Pitch Imaguru Final,"Mar 23, 2023 04:00 PM - Mar 23, 2023 04:30 PM",APPROVED,https://airtable.com/shrHj1oPCps4O26ok
Fiori Webinar: How to Design and Test Roles supporting Fiori - Free Webinar,"Dec 07, 2022 02:00 PM - Dec 07, 2022 03:00 PM",RELINQUISHED,https://go.nagarro-es.com/en/fiori-webinar4
2 days | 9 free sessions | Risk Management and Compliance Operations in SAP,"Mar 22, 2023 11:00 AM - Mar 23, 2023 03:45 PM",APPROVED,https://go.nagarro-es.com/en/cnws2023
LATAM Corporate Innovation and Local Success Stories,"Aug 22, 2023 01:00 PM - Aug 22, 2023 02:00 PM",RELINQUISHED,https://globalgatetalk.eventbrite.com
Automate your Segregation of Duties processes in SAP - Free Webinar,"Jun 15, 2022 01:00 PM - Jun 15, 2022 02:00 PM",APPROVED,https://go.nagarro-es.com/en/access-control-webinar2
TeenGuru Business Сamp (Vilnius),"Aug 21, 2023 08:00 AM - Aug 26, 2023 11:00 AM",RELINQUISHED,
🌟 Teenguru Summer Day Camp in Warsaw – Empower Your Teen for the Future! ,"Jul 14, 2025 08:00 AM - Jul 18, 2025 04:00 PM",RELINQUISHED,https://teenguru.imaguru.co/
Why you should implement an SoD tool in SAP - Free Webinar,"Sep 13, 2023 01:00 PM - Sep 13, 2023 02:00 PM",APPROVED,https://www.nagarro.com/en/webinar/why-implement-sod-tool-in-sap
Top 50 Core SAP Controls [Free E-Book & Mitigating Control Examples],"Nov 03, 2025 02:00 PM - Nov 03, 2025 03:00 PM",RELINQUISHED,https://www.nagarro.com/en/whitepapers/ebook-top-50-core-sap-controls
Let's talk S/4HANA-Transformation! - so entwickeln Sie Ihre Roadmap ,"May 31, 2022 08:00 AM - May 31, 2022 09:00 AM",RELINQUISHED,
"Fundraising: Getting investments from VCs, Banks, and Business Angels","Mar 30, 2023 03:00 PM - Mar 30, 2023 03:30 PM",APPROVED,https://airtable.com/shr3Q0JZ8YFZ4CCgJ
Fiori Webinar: How to Design and Test Roles supporting Fiori - Free Webinar,"May 25, 2022 01:00 PM - May 25, 2022 01:30 PM",APPROVED,https://go.nagarro-es.com/en/fiori-webinar2
Segregation of Duties (SoD) Decision Guide - Free E-Book (33 pages),"Nov 03, 2025 02:00 PM - Nov 03, 2025 02:30 PM",RELINQUISHED,https://www.nagarro.com/en/whitepapers/ebook-sod-decision-guide-sap
Optimize your Internal Control implementation in SAP – Free Webinar,"Apr 19, 2023 01:00 PM - Apr 19, 2023 02:00 PM",RELINQUISHED,https://go.nagarro-es.com/en/ic-webinar-2
Modern languages Career Fair Event ,"May 18, 2022 10:00 AM - May 18, 2022 11:00 AM",APPROVED,
Не грантами едиными: как запустить социальный бизнес,"May 30, 2023 03:00 PM - May 30, 2023 03:30 PM",RELINQUISHED,https://airtable.com/shrirqOWhlKMXPpwV
Webinar: Strengthen SoD & Governance in SAP (PwC & ComplianceNow),"Jun 18, 2025 11:00 AM - Jun 18, 2025 11:45 AM",RELINQUISHED,https://www.nagarro.com/en/webinar/strengthen-sod-governance-sap
CN Webinar: Managing privileged accesses in your productive SAP environment,"Jun 21, 2023 01:00 PM - Jun 21, 2023 02:00 PM",APPROVED,https://go.nagarro-es.com/en/eua-webinar
