Title,Description,Url,Started On,Finished On
SAP SD AFS  Support (external),"SAP AFS is SAP solution focused on the Apparel and Footwear industry. Project scope: SAP functional 1st and 2nd level support for AFS (MM,SD, FI), Retail and HR systems; ABAP development; SAP implementation in local markets as a part of global SAP rollout roadmap. Responsibilities: •	System customizing SAP AFS; •	Responsible for functional specification creation for technical team; •	Manage all incidents and customer requests from initiation to resolution/managing all incidents and customer requests from initiation to resolution; •	Performing testing based on test cases and acceptance criteria; •	managing incidents, requests and problems; •	Issue (problem, incident) root cause identification; •	Go-live support; ",,2016,2017
Pharmaceutical chemistry branch (SAP Support SD/LO),"Customer: a leading systems and service provider for polymer-based solutions in construction, automotive and industry.  Description: SAP Support FI/LO project for REHAU office in Belarus. Functional support for changes in Belorussian legislation applied to global SAP template.",,Feb 2016,Jun 2016
Efes Beer Group (external),"Customer:Efes Beer Group  (Russian company branch) Description: Automation solutions for data exchange between the company EFES and partner companies. In particular, based on the platform SAP PI 7.0 was implemented exchange basic and transnational data between SAP ERP systems, SAP CRM, SAP BW, SFA systems, 1C. Roles and responsibilities: •	Responsible for functional specification creation for technical team;  •	Propose TO-BE process design;  •	Create functional design document/Functional design document creation;  •	Execute test cases and record the results/Test cases execution and documenting the test results;  •	Manage incidents, requests and problems;",http://www.tadviser.ru/index.php/%D0%9A%D0%BE%D0%BC%D0%BF%D0%B0%D0%BD%D0%B8%D1%8F:%D0%9F%D0%B8%D0%B2%D0%BE%D0%B2%D0%B0%D1%80%D0%BD%D1%8F_%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0-%D0%AD%D1%84%D0%B5%D1%81_(%D0%93%D0%9A_EFES_%D0%B2_%D0%A0%D0%BE%D1%81%D1%81%D0%B8,2014,2014
SAP Retail - EWM Integration,"• Preparing technical solution for integration SAP Retail with WMS (""МойСклад"");",,2014,2014
Internal EPAM project,Internal EPAM project.  • Design and support unit and end user testing; • Performing testing based on test cases and acceptance criteria; • System customizing SAP SD/MM; • Carry out changes according to change requests; • Prepare manual for support team;,https://sapland.ru/kb/blogs/kompaniya-epam-systems-razrabotala-i-uspeshno-sertiphitsirovala-lokalizatsionnoe.html,2014,2015
AMS: Just-in-Time and Just-in-Sequence Processing with SAP,"Incident & problem solving, development adjustments with implementation of new tools for JIT processing.",,2018,May 2025
COPA: Migrating to Margin analysis,,,Jun 2021,Aug 2021
Transfering Excel workbook-sets to SAP applications using BRF plus,,,Mar 2021,Aug 2021
SAP Business workflow: custom events to trigger the processes,,,Oct 2021,Dec 2021
Monitoring and fixing the interface issues using SAP Application Interface Framework,,,Jul 2021,Mar 2025
SAP MDG Enablement – Business Partner Integration,"Worked on SAP MDG Business Partner stream as part of a global S/4HANA transformation. Resolved complex data quality and governance issues, aligned business and IT on ownership, documentation, and process rules. Led the structuring of BP requirements, supported cross-functional alignment, and validated solutions to ensure scalable, well-integrated, and compliant master data across systems.",,May 2025,
